Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 4,Esn 2,Device Type 1,2022-04-25 14:39:12,2022-04-28 16:08:56,2022-04-25 14:39:12,2022-04-28 16:08:56,,,,,
User 2,Esn 2,Device Type 1,2022-04-25 14:39:12,2022-04-28 16:08:56,2022-04-25 14:39:12,2022-04-28 16:08:56,,,,,
User 3,Esn 2,Device Type 1,2022-04-25 14:39:12,2022-04-28 16:08:56,2022-04-25 14:39:12,2022-04-28 16:08:56,,,,,
User 0,Esn 2,Device Type 1,2022-04-25 14:39:12,2022-04-28 16:08:56,2022-04-25 14:39:12,2022-04-28 16:08:56,2022-04-25 14:39:12,2022-04-25 14:39:12,2022-04-25 14:39:12,2022-04-25 14:39:12,
User 1,Esn 1,Device Type 4,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-01 09:32:16,2022-11-07 12:57:43,2022-04-23 10:32:15,2022-04-23 13:44:09,2022-04-23 10:32:15,2022-04-23 13:44:09,
User 4,Esn 44,Device Type 3,2021-11-30 06:39:57,2022-03-07 07:26:14,2021-11-30 06:48:08,2022-03-07 07:08:55,2021-11-30 06:39:57,2022-03-07 07:26:14,2021-11-30 06:48:08,2022-03-07 07:08:55,
User 1,Esn 15,Device Type 7,2021-10-30 03:03:59,2022-01-01 10:01:39,2021-10-30 03:03:59,2022-01-01 08:57:31,2021-12-11 13:51:00,2022-01-01 10:01:39,2021-12-11 13:53:59,2022-01-01 08:57:31,
User 1,Esn 12,Device Type 6,2021-12-16 15:14:31,2022-06-19 12:04:22,2021-12-16 15:14:43,2022-06-19 12:02:51,2021-12-16 15:14:31,2021-12-27 16:07:23,2021-12-16 15:14:43,2021-12-27 16:07:23,
User 0,Esn 8,Device Type 0,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,,,,,
User 1,Esn 8,Device Type 0,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,,,,,
User 4,Esn 10,Device Type 1,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,1970-01-01 00:00:00
User 4,Esn 34,Device Type 0,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,1970-01-01 00:00:00
User 4,Esn 48,Device Type 0,2021-11-03 15:26:51,2021-12-15 15:29:15,2021-11-03 15:26:51,2021-12-15 15:29:15,2021-11-03 15:26:51,2021-12-15 15:29:15,2021-11-03 15:26:51,2021-12-15 15:29:15,1970-01-01 00:00:00
User 1,Esn 10,Device Type 1,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,2021-12-08 14:39:26,2022-01-16 18:47:14,
User 1,Esn 31,Device Type 1,2021-12-20 07:25:51,2022-09-12 04:59:59,2021-12-20 07:25:51,2022-09-12 04:59:59,2021-12-20 07:25:51,2021-12-20 07:25:51,2021-12-20 07:25:51,2021-12-20 07:25:51,
User 3,Esn 34,Device Type 0,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,2021-11-25 16:37:44,2021-12-11 16:48:37,
User 0,Esn 15,Device Type 7,2021-10-30 03:03:59,2022-01-01 10:01:39,2021-10-30 03:03:59,2022-01-01 08:57:31,2021-10-30 03:03:59,2021-12-05 05:12:31,2021-10-30 03:03:59,2021-12-05 05:12:31,
User 4,Esn 15,Device Type 7,2021-10-30 03:03:59,2022-01-01 10:01:39,2021-10-30 03:03:59,2022-01-01 08:57:31,2021-12-04 14:03:35,2021-12-04 17:35:01,2021-12-04 14:04:15,2021-12-04 17:30:25,
User 4,Esn 3,Device Type 3,,,,,,,,,2022-11-26 08:51:46
User 2,Esn 3,Device Type 3,,,,,,,,,2022-11-26 08:51:46
User 3,Esn 3,Device Type 3,,,,,,,,,2022-11-26 08:51:46
User 0,Esn 3,Device Type 3,,,,,,,,,2022-11-26 08:51:46
User 1,Esn 3,Device Type 3,,,,,,,,,2022-11-26 08:51:46
User 4,Esn 8,Device Type 0,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,2022-06-05 14:01:26
User 2,Esn 8,Device Type 0,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-26 13:27:05,2022-06-05 13:59:34,2021-12-26 13:27:05,2022-06-05 13:59:34,2022-06-05 14:01:26
User 4,Esn 46,Device Type 8,,,,,,,,,2022-04-18 20:02:22
User 3,Esn 8,Device Type 0,2021-12-25 07:00:49,2022-06-05 13:59:56,2021-12-25 07:00:49,2022-06-05 13:59:56,,,,,2022-06-05 14:01:26
User 8,Esn 32,Device Type 1,2022-10-06 18:28:05,2023-06-20 16:09:44,2022-10-06 18:28:05,2023-06-20 16:09:44,2022-10-06 18:28:05,2023-06-20 16:09:44,2022-10-06 18:28:05,2023-06-20 16:09:44,1970-01-01 00:00:00
User 8,Esn 0,Device Type 5,2023-01-07 15:13:19,2023-06-20 15:09:20,2023-01-07 15:13:36,2023-06-20 15:09:20,2023-01-07 15:13:19,2023-06-20 15:09:20,2023-01-07 15:13:36,2023-06-20 15:09:20,1970-01-01 00:00:00
User 8,Esn 55,Device Type 8,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 33,Device Type 1,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,1970-01-01 00:00:00
User 8,Esn 30,Device Type 9,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,1970-01-01 00:00:00
User 8,Esn 13,Device Type 1,2022-11-13 16:58:03,2023-06-20 05:53:24,2022-11-13 16:58:03,2023-06-20 05:53:24,2022-11-13 16:58:03,2023-06-20 05:53:24,2022-11-13 16:58:03,2023-06-20 05:53:24,1970-01-01 00:00:00
User 8,Esn 35,Device Type 4,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,1970-01-01 00:00:00
User 8,Esn 36,Device Type 0,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,2022-11-30 12:09:38,2023-06-19 08:04:43,1970-01-01 00:00:00
User 8,Esn 37,Device Type 1,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,2023-03-17 15:54:24,2023-06-19 04:46:05,1970-01-01 00:00:00
User 8,Esn 11,Device Type 0,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,2022-12-04 10:01:02,2023-06-18 16:11:39,1970-01-01 00:00:00
User 8,Esn 29,Device Type 1,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,2023-01-07 18:41:03,2023-06-18 14:59:05,1970-01-01 00:00:00
User 8,Esn 28,Device Type 1,2023-02-08 18:01:39,2023-06-17 19:18:26,2023-02-08 18:01:39,2023-06-17 19:18:26,2023-02-08 18:01:39,2023-06-17 19:18:26,2023-02-08 18:01:39,2023-06-17 19:18:26,1970-01-01 00:00:00
User 8,Esn 50,Device Type 10,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 56,Device Type 10,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 18,Device Type 1,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,2023-01-15 14:48:01,2023-06-15 08:37:56,1970-01-01 00:00:00
User 8,Esn 19,Device Type 6,2023-05-20 17:17:32,2023-05-20 17:47:09,2023-05-20 17:20:35,2023-05-20 17:47:09,2023-05-20 17:17:32,2023-05-20 17:47:09,2023-05-20 17:20:35,2023-05-20 17:47:09,1970-01-01 00:00:00
User 8,Esn 9,Device Type 1,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,2022-11-30 15:05:23,2023-05-02 11:30:32,1970-01-01 00:00:00
User 8,Esn 17,Device Type 11,2022-11-21 08:59:17,2023-04-28 09:47:49,2022-11-21 08:59:17,2023-04-28 09:47:49,2022-11-21 08:59:17,2023-04-28 09:47:49,2022-11-21 08:59:17,2023-04-28 09:47:49,1970-01-01 00:00:00
User 8,Esn 22,Device Type 2,2023-03-28 17:15:01,2023-04-19 15:17:50,2023-04-19 15:12:09,2023-04-19 15:17:50,2023-03-28 17:15:01,2023-04-19 15:17:50,2023-04-19 15:12:09,2023-04-19 15:17:50,1970-01-01 00:00:00
User 8,Esn 16,Device Type 7,2023-01-01 03:43:30,2023-04-09 10:14:47,2023-01-01 04:06:14,2023-04-09 10:14:47,2023-01-01 03:43:30,2023-04-09 10:14:47,2023-01-01 04:06:14,2023-04-09 10:14:47,1970-01-01 00:00:00
User 8,Esn 54,Device Type 9,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 12,Device Type 6,2022-08-09 15:03:25,2022-11-09 16:15:07,2022-09-24 16:17:52,2022-11-09 16:09:35,2022-08-09 15:03:25,2022-11-09 16:15:07,2022-09-24 16:17:52,2022-11-09 16:09:35,1970-01-01 00:00:00
User 8,Esn 27,Device Type 0,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,2022-10-05 17:01:39,2023-03-11 08:04:49,1970-01-01 00:00:00
User 8,Esn 53,Device Type 0,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 52,Device Type 0,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 51,Device Type 0,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 14,Device Type 1,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-02-25 13:15:36,2022-10-23 18:49:50,2023-02-25 13:15:36,1970-01-01 00:00:00
User 8,Esn 49,Device Type 3,2023-01-20 17:25:14,2023-01-20 17:36:08,2023-01-20 17:27:11,2023-01-20 17:36:08,2023-01-20 17:25:14,2023-01-20 17:36:08,2023-01-20 17:27:11,2023-01-20 17:36:08,1970-01-01 00:00:00
User 8,Esn 24,Device Type 0,2022-06-30 15:06:02,2022-12-04 07:03:13,2022-06-30 15:06:02,2022-12-04 07:03:13,2022-06-30 15:06:02,2022-12-04 07:03:13,2022-06-30 15:06:02,2022-12-04 07:03:13,1970-01-01 00:00:00
User 8,Esn 47,Device Type 0,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 38,Device Type 8,,,,,,,,,1970-01-01 00:00:00
User 8,Esn 25,Device Type 1,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,2022-11-18 15:39:04,1970-01-01 00:00:00
User 8,Esn 21,Device Type 0,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-10-24 05:40:13,2022-11-03 20:10:56,2022-11-18 15:32:23
User 8,Esn 43,Device Type 1,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,2022-11-13 13:50:35,1970-01-01 00:00:00
User 8,Esn 10,Device Type 1,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,2022-06-13 19:28:21,2022-10-24 17:52:33,1970-01-01 00:00:00
User 8,Esn 26,Device Type 0,2022-06-05 17:56:46,2022-10-23 20:16:59,2022-06-05 17:56:46,2022-10-23 20:16:59,2022-06-05 17:56:46,2022-10-23 20:16:59,2022-06-05 17:56:46,2022-10-23 20:16:59,1970-01-01 00:00:00
User 8,Esn 23,Device Type 1,2022-10-04 17:09:35,2022-10-06 16:14:12,2022-10-04 17:09:35,2022-10-06 16:14:12,2022-10-04 17:09:35,2022-10-06 16:14:12,2022-10-04 17:09:35,2022-10-06 16:14:12,1970-01-01 00:00:00
User 8,Esn 20,Device Type 0,2022-08-13 14:32:59,2022-10-05 08:39:53,2022-08-13 14:32:59,2022-10-05 08:39:53,2022-08-13 14:32:59,2022-10-05 08:39:53,2022-08-13 14:32:59,2022-10-05 08:39:53,1970-01-01 00:00:00
User 8,Esn 39,Device Type 1,2022-06-01 13:32:46,2022-08-20 19:22:29,2022-06-01 13:32:46,2022-08-20 19:22:29,2022-06-01 13:32:46,2022-08-20 19:22:29,2022-06-01 13:32:46,2022-08-20 19:22:29,1970-01-01 00:00:00
User 5,Esn 0,Device Type 5,2023-01-07 15:13:19,2023-06-20 15:09:20,2023-01-07 15:13:36,2023-06-20 15:09:20,2023-01-07 15:13:19,2023-06-20 15:09:20,2023-01-07 15:13:36,2023-06-20 15:09:20,
User 7,Esn 33,Device Type 1,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,2023-06-17 15:50:40,2023-06-20 10:14:31,
User 6,Esn 30,Device Type 9,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,2023-06-20 07:03:42,
User 5,Esn 35,Device Type 4,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,2023-01-13 17:07:42,2023-06-19 16:07:09,
